Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_30,23.57967209815980,4,6,53,3,11,23.065929174423200,5.766482293605800,4.0,,
Language_31,15.712867021560700,3,5,44,2,11,15.125096321106000,5.041698773701990,4.0,,
Language_32,83.95263195037840,6,7,81,2,11,83.41225481033330,13.902042468388900,5.2,,
Language_33,60.59974503517150,6,7,86,2,11,59.939767599105800,9.98996126651764,5.2,,
Language_34,9.788795948028560,3,4,41,2,11,9.196828126907350,3.0656093756357800,3.5,,
Language_35,86.73535299301150,4,5,56,2,11,86.1232168674469,21.530804216861700,4.333333333333330,,
Language_36,30.242089986801100,4,4,57,2,11,29.636499643325800,7.409124910831450,3.6666666666666700,,
Language_37,21.705288887023900,4,6,55,2,11,21.09235191345220,5.273087978363040,4.666666666666670,,
Language_38,52.12619113922120,3,5,46,2,11,51.648380756378200,17.216126918792700,5.0,,
Language_39,25.5141658782959,3,6,45,2,11,24.911966800689700,8.303988933563230,5.0,,
Language_40,10.35317087173460,4,6,48,2,10,9.945398807525640,2.4863497018814100,4.333333333333330,,
Language_41,39.46115207672120,4,5,56,2,11,38.93457555770870,9.733643889427190,4.666666666666670,,
Language_42,18.512744903564500,4,6,52,2,10,18.026973962783800,4.506743490695950,5.0,,
Language_43,18.491668939590500,2,2,31,2,11,17.921305894851700,8.960652947425840,2.0,,
Language_44,27.05792212486270,6,7,83,2,11,26.420976161956800,4.403496026992800,4.8,,
Language_45,21.868252277374300,2,4,33,2,11,21.28664493560790,10.643322467804000,4.0,,
Language_46, SAT Failed,,,,,,,,,,
Language_47,22.369072914123500,5,4,70,2,11,21.738778591156000,4.347755718231200,3.5,,
Language_48,27.254517078399700,3,6,45,2,11,26.67077398300170,8.890257994333900,5.5,,
Language_49,25.23823618888860,5,6,66,2,11,24.734208583831800,4.946841716766360,4.75,,
Language_50,38.42112684249880,6,6,84,3,11,37.779855251312300,6.296642541885380,5.2,,
Language_51,40.33125877380370,6,6,85,2,11,39.68759894371030,6.614599823951720,4.2,,
Language_52,32.81248211860660,5,6,67,2,11,32.25837993621830,6.451675987243650,5.0,,
Language_53,26.72072124481200,5,5,64,2,11,26.20102620124820,5.240205240249630,4.25,,
Language_54,96.19719195365910,6,9,65,3,11,95.76214361190800,15.960357268651300,5.6,,
Language_55,16.147252082824700,4,5,54,3,11,15.551042795181300,3.8877606987953200,4.0,,
Language_56,42.17427396774290,4,5,57,2,11,41.56477642059330,10.391194105148300,4.0,,
Language_57,75.14133381843570,4,4,60,2,11,74.51667404174810,18.62916851043700,4.0,,
Language_58,25.820358991622900,5,6,68,3,11,25.197922945022600,5.039584589004520,4.25,,
Language_59,25.353044986724900,2,5,32,2,11,24.764725923538200,12.382362961769100,5.0,,
Language_60,27.8734130859375,3,8,42,2,11,27.283254384994500,9.094418128331500,6.0,,
Language_61, SAT Failed,,,,,,,,,,
Language_62,5.8307719230651900,2,4,28,2,11,5.347280979156490,2.673640489578250,4.0,,
Language_63,14.905959844589200,3,4,41,2,11,14.405910730361900,4.8019702434539800,3.0,,
Language_64,14.5945143699646,3,3,42,2,11,14.086380004882800,4.6954600016276000,2.5,,
Language_65,142.45780086517300,6,7,87,2,11,141.7980718612670,23.63301197687790,4.4,,
Language_66,13.867238998413100,2,4,31,2,11,13.368210315704300,6.684105157852170,4.0,,
Language_67,31.376956939697300,4,7,56,2,11,30.75405216217040,7.6885130405426000,5.0,,
Language_68,39.63890480995180,3,5,44,3,11,39.059361696243300,13.019787232081100,4.5,,
Language_69,16.647398948669400,3,6,44,2,11,16.16549301147460,5.388497670491540,5.0,,
Language_70, SAT Failed,,,,,,,,,,
Language_71,30.064775943756100,6,5,83,2,11,29.396182775497400,4.89936379591624,4.8,,
Language_72,19.173219203949000,4,7,54,2,11,18.565011739730800,4.641252934932710,5.666666666666670,,
Language_73, SAT Failed,,,,,,,,,,
Language_74, SAT Failed,,,,,,,,,,
Language_75,92.01189279556270,5,5,67,2,11,91.4852843284607,18.297056865692100,4.75,,
Language_76,39.040343046188400,3,5,44,3,11,38.435938596725500,12.811979532241800,4.5,,
Language_77,18.453633069992100,4,6,48,2,11,18.057406663894700,4.514351665973660,4.666666666666670,,
Language_78,52.95642113685610,4,5,56,2,11,52.35803985595700,13.089509963989300,4.666666666666670,,
Language_79,32.219417095184300,5,6,74,2,11,31.580222845077500,6.316044569015500,5.0,,
Language_80, SAT Failed,,,,,,,,,,
Language_81,33.28600311279300,5,5,64,2,11,32.869887590408300,6.573977518081670,4.5,,
Language_82,98.59594511985780,5,5,67,2,11,98.06884527206420,19.613769054412800,4.25,,
Language_83,42.05021810531620,5,6,71,2,11,41.43005180358890,8.286010360717770,4.75,,
Language_84,28.570291996002200,7,8,79,2,11,28.189554929733300,4.027079275676180,5.666666666666670,,
Language_85,276.4757843017580,5,7,70,4,11,275.8401708602910,55.16803417205810,4.5,,
Language_86,44.184383153915400,5,6,71,2,11,43.5031464099884,8.700629281997680,4.75,,
Language_87,20.842596769332900,3,4,44,2,11,20.243215799331700,6.747738599777220,3.0,,
Language_88,56.11135005950930,8,6,94,3,11,55.546061992645300,6.943257749080660,4.714285714285710,,
Language_89,11.356316804885900,2,4,30,2,10,10.961930751800500,5.4809653759002700,4.0,,
Language_90,20.92467188835140,4,6,50,2,11,20.317687034606900,5.079421758651730,4.666666666666670,,
Language_91,15.116732835769700,4,5,56,3,11,14.521655082702600,3.630413770675660,4.333333333333330,,
Language_92,132.30795574188200,6,6,80,3,11,131.7381763458250,21.9563627243042,4.6,,
Language_93,22.614660263061500,4,4,55,2,11,22.12499499320980,5.53124874830246,4.0,,
Language_94,127.61004376411400,3,7,45,3,11,127.01183605194100,42.33727868398030,5.0,,
Language_95,26.859291076660200,3,6,40,2,11,26.46440362930300,8.821467876434330,5.5,,
Language_96,54.33718919754030,3,6,47,2,11,53.754796266555800,17.91826542218530,4.5,,
Language_97,65.71074104309080,3,4,44,2,11,65.11551570892330,21.705171902974400,4.0,,
Language_98,12.379326105117800,3,4,43,2,10,11.953493595123300,3.984497865041100,3.5,,
Language_99,155.01545405387900,8,8,111,2,11,154.28843903541600,19.286054879427000,5.285714285714290,,
,,,,,,,,,,,
Average,44.926058965724900,4.21978021978022,5.516483516483520,57.78021978021980,2.2637362637362600,10.956043956044000,44.37293044551390,10.393815532799200,4.426373626373630,8,91
