Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_73,13.112703800201400,4,8,43,4,10,12.915966033935500,3.2289915084838900,4.666666666666670,,
Language_74,26.197530269622800,3,7,41,3,11,25.798774480819700,8.599591493606570,5.0,,
Language_75,26.647391080856300,5,8,60,2,11,26.2478244304657,5.24956488609314,5.25,,
Language_76,38.55910587310790,4,8,37,2,11,38.516201972961400,9.629050493240360,6.333333333333330,,
Language_77,7.028692007064820,4,9,37,2,9,6.962965250015260,1.7407413125038100,6.0,,
Language_78,4.582305908203130,3,4,33,3,9,4.43562126159668,1.4785404205322300,3.5,,
Language_79,16.462910890579200,4,7,52,2,10,16.185420989990200,4.046355247497560,5.333333333333330,,
Language_80,97.9189567565918,4,12,41,3,10,97.7697958946228,24.4424489736557,8.666666666666670,,
Language_81,18.057537078857400,5,6,37,4,10,18.02190065383910,3.6043801307678200,4.75,,
Language_82,105.74229502677900,7,9,82,3,11,105.41067385673500,15.058667693819300,6.666666666666670,,
Language_83,18.954225778579700,3,7,36,3,11,18.606558084487900,6.202186028162640,5.5,,
Language_84,13.083325147628800,5,7,42,3,10,12.966760873794600,2.593352174758910,5.75,,
Language_85,51.00666093826290,3,10,43,2,11,50.74617004394530,16.915390014648400,7.0,,
Language_86,22.579907655715900,4,6,52,3,11,22.158286333084100,5.539571583271030,5.0,,
Language_87,15.927268743515000,4,11,49,3,10,15.695566415786700,3.923891603946690,7.666666666666670,,
Language_88,31.24330997467040,3,5,32,3,10,31.018068075180100,10.339356025060000,5.0,,
Language_89,47.77985501289370,5,10,52,3,11,47.54647469520570,9.509294939041140,6.75,,
Language_90,18.865705966949500,3,7,35,2,10,18.59496831893920,6.198322772979740,5.0,,
Language_91,10.018789768219000,2,4,28,3,11,9.701315879821780,4.850657939910890,4.0,,
Language_92,57.909560680389400,4,7,50,2,11,57.63542318344120,14.40885579586030,5.0,,
Language_93, SAT Failed,,,,,,,,,,
Language_94,48.03484010696410,4,8,44,3,10,47.845977544784500,11.961494386196100,4.333333333333330,,
Language_95,10.175220966339100,4,8,34,3,10,10.026228904724100,2.5065572261810300,5.333333333333330,,
Language_96,43.09642171859740,4,7,53,2,11,42.703287839889500,10.675821959972400,5.0,,
Language_97,55.50577473640440,4,7,44,4,11,55.33091878890990,13.832729697227500,6.333333333333330,,
Language_98,13.921231031417800,4,7,47,3,11,13.581440925598100,3.395360231399540,5.0,,
Language_99, SAT Failed,,,,,,,,,,
,,,,,,,,,,,
Average,47.70998961874780,4.148936170212770,7.51063829787234,47.180851063829800,2.6702127659574500,10.563829787234000,47.44995306146910,11.476071739881200,5.4289893617021300,9,94
