Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_40,202.88442516326900,3,4,56,2,13,200.7063581943510,66.90211939811710,4.0,,
Language_41,192.30250072479200,4,5,70,2,13,190.17961144447300,47.54490286111830,3.6666666666666700,,
Language_42, SAT Failed,,,,,,,,,,
Language_43,189.7380781173710,3,6,53,1,13,187.64337706565900,62.54779235521950,5.0,,
Language_44,62.77801179885860,2,3,37,2,13,60.62964725494390,30.314823627471900,3.0,,
Language_45, SAT Failed,,,,,,,,,,
Language_46,263.5506868362430,3,4,53,2,13,261.66071796417200,87.22023932139080,4.0,,
Language_47, SAT Failed,,,,,,,,,,
Language_48,221.62145400047300,3,4,53,3,13,219.5680389404300,73.18934631347660,3.0,,
Language_49,164.61821389198300,3,4,55,2,13,162.4505844116210,54.150194803873700,4.0,,
Language_50, SAT Failed,,,,,,,,,,
Language_51, SAT Failed,,,,,,,,,,
Language_52,139.64289093017600,2,4,39,2,13,137.56312322616600,68.78156161308290,4.0,,
Language_53,261.1529438495640,2,4,38,2,13,259.01467990875200,129.50733995437600,4.0,,
Language_54, SAT Failed,,,,,,,,,,
Language_55, SAT Failed,,,,,,,,,,
Language_56, SAT Failed,,,,,,,,,,
Language_57, SAT Failed,,,,,,,,,,
Language_58, SAT Failed,,,,,,,,,,
Language_59,208.6605110168460,3,3,51,2,13,206.88044571876500,68.96014857292180,3.0,,
Language_60, SAT Failed,,,,,,,,,,
Language_61, SAT Failed,,,,,,,,,,
Language_62,98.90781474113460,2,4,40,2,13,97.1457929611206,48.5728964805603,4.0,,
Language_63, SAT Failed,,,,,,,,,,
Language_64,92.04555702209470,3,4,51,2,13,90.29262471199040,30.097541570663500,4.0,,
Language_65, SAT Failed,,,,,,,,,,
Language_66, SAT Failed,,,,,,,,,,
Language_67, SAT Failed,,,,,,,,,,
Language_68,66.45568585395810,3,4,51,2,13,64.6072928905487,21.535764296849600,4.0,,
Language_69, SAT Failed,,,,,,,,,,
Language_70, SAT Failed,,,,,,,,,,
Language_71, SAT Failed,,,,,,,,,,
Language_72, SAT Failed,,,,,,,,,,
Language_73, SAT Failed,,,,,,,,,,
Language_74,217.5181531906130,3,4,51,1,13,215.67495250701900,71.89165083567300,4.0,,
Language_75,62.89235591888430,2,4,38,2,13,60.78616666793820,30.393083333969100,4.0,,
Language_76, SAT Failed,,,,,,,,,,
Language_77, SAT Failed,,,,,,,,,,
Language_78,242.1918821334840,2,3,37,2,13,240.06615471839900,120.03307735920000,3.0,,
Language_79,76.82284212112430,2,4,39,2,13,74.6794548034668,37.3397274017334,4.0,,
Language_80,132.38777089119000,5,5,85,2,13,130.32646942138700,26.065293884277300,4.5,,
Language_81,48.88968110084530,2,3,40,2,13,46.79990577697750,23.39995288848880,3.0,,
Language_82, SAT Failed,,,,,,,,,,
Language_83, SAT Failed,,,,,,,,,,
Language_84, SAT Failed,,,,,,,,,,
Language_85, SAT Failed,,,,,,,,,,
Language_86, SAT Failed,,,,,,,,,,
Language_87, SAT Failed,,,,,,,,,,
Language_88,159.29239106178300,3,6,54,2,13,157.225172996521,52.40839099884030,5.0,,
Language_89, SAT Failed,,,,,,,,,,
Language_90, SAT Failed,,,,,,,,,,
Language_91, SAT Failed,,,,,,,,,,
Language_92, SAT Failed,,,,,,,,,,
Language_93, SAT Failed,,,,,,,,,,
Language_94, SAT Failed,,,,,,,,,,
Language_95, SAT Failed,,,,,,,,,,
Language_96, SAT Failed,,,,,,,,,,
Language_97, SAT Failed,,,,,,,,,,
Language_98, SAT Failed,,,,,,,,,,
Language_99, SAT Failed,,,,,,,,,,
,,,,,,,,,,,
Average,171.58938701947500,2.90909090909091,4.12121212121212,51.969696969697,1.96969696969697,13,169.572122927868,60.5027165465885,3.8,6,33
